7zip 26.03-1
accountsservice 26.27.3-1
acpi 1.8-2
adw-gtk-theme 6.5-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6
alsa-utils 1.2.16-1
amd-ucode 20260910-1
android-udev 20260423-1
awesome-terminal-fonts 1.1.0-5
awww 0.12.1-1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bc 1.08.2-1
bind 9.20.27-1
blueman 2.4.6-2
bluetui 0.8.1-2
bluez 5.87-2
bluez-hid2hci 5.87-2
bluez-obex 5.87-2
bluez-utils 5.87-2
brightnessctl 0.5.1-3
btop 1.4.7-1
cabextract 1.11-3
cantarell-fonts 1:0.311-1
cava 1.0.0-1
chafa 1.18.2-2
cliphist 1:0.7.0-2
cmake 4.4.3-2
cpupower 7.2.6-1
cronie 1.7.2-2
ddcutil 3.0.1-1
dmidecode 3.7-1
dnsmasq 2.93-1
duf 0.9.1-1
efibootmgr 18-4
efitools 1.9.2-7
ethtool 1:7.1-1
exfatprogs 1.4.3-1
f2fs-tools 1.16.0-3
fastfetch 2.68.1-1
ffmpegthumbnailer 2.3.1-1
file-roller 44.7-1
firefox 155.0.1-1
flatpak 1:1.18.2-1
font-manager 0.9.4-3
fsarchiver 0.8.9-1
fuzzel 1.15.0-1
fzf 0.74.4-1
galculator 2.1.4-12
gammastep 2.0.11-2
geoclue 2.8.2-1
gimp 3.2.6-1
git 2.55.0-1
glances 4.5.6-1
glaze 8.3.0-1
gpart 0.3-6
gparted 1.8.1-2
gpu-screen-recorder 6.1.2-1
grim 1.5.0-2
gst-libav 1.28.7-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.7-1
gst-plugins-base 1.28.7-1
gst-plugins-good 1.28.7-1
gst-plugins-ugly 1.28.7-1
gst-plugin-va 1.28.7-1
gvfs 1.60.3-1
gvfs-mtp 1.60.3-1
gvfs-nfs 1.60.3-1
gvfs-smb 1.60.3-1
htop 3.5.3-1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1
hyprpicker 0.4.7-4
imv 5.0.1-2
intel-media-driver 26.2.4-1
iw 6.17-1
iwd 3.12-1
jfsutils 1.1.15-9
jq 1.8.2-1
just 1.58.0-1
kitty 0.48.2-1
lib32-vulkan-radeon 1:26.2.2-1
libdvdcss 1.6.0-1
libgepub 0.7.3-2
libopenraw 0.3.7-2
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.8.0-2
libva-intel-driver 2.4.5-1
linux-firmware 20260910-1
linux-zen 7.2.4.zen2-1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2
materia-gtk-theme 20210322-4
mesa-utils 9.0.0-7
meson 1.12.0-1
mkinitcpio 42-1
modemmanager 1.24.2-1
mtools 1:4.0.49-1
nano 9.2-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
netctl 1.29-2
networkmanager 1.58.1-1
network-manager-applet 1.36.0-2
networkmanager-openvpn 1.12.5-1
niri 26.04-1
nlohmann-json 3.12.0-2
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2
ntfsprogs 2026.7.7-1
nwg-look 1.1.1-3
ollama 0.34.0-1
opencl-mesa 1:26.2.2-1
opencode 1.18.29-1
otf-font-awesome 7.3.1-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
papirus-icon-theme 20260801-1
pavucontrol 1:6.2-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pkgfile 26-1
playerctl 2.4.1-5
plocate 1.1.25-1
polkit-kde-agent 6.7.5-1
power-profiles-daemon 0.30-1
pv 1.11.0-1
python-pipx 1.15.0-1
python-requests 2.34.2-1
qbittorrent 5.2.3-3
qt5ct 1.9-2
qt6ct 0.11-8
qt6-multimedia 6.11.2-1
realtime-privileges 5-1
rebuild-detector 4.4.5-1
reflector 2023-5
rsync 3.5.0-1
rust 1:1.98.1-1
satty 0.22.0-1
scrcpy 4.1-2
sddm 0.21.0-7
sg3_utils 1.49-1
slurp 1.5.0-2
smartmontools 7.5-1
sof-firmware 2025.12.2-1
speech-dispatcher 0.12.1-3
stb 20260415.205329.g31c1ad374564-1
sudo 1.9.17.p2-6
swaybg 1.2.2-1
swayidle 1.9.0-1
swaync 0.12.6-1
telegram-desktop 7.2.8-1
thunar 4.20.10-1
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-shares-plugin 1:0.5.0-1
thunar-vcs-plugin 0.4.0-1
thunar-volman 4.20.0-2
tlp 1.10.2-1
tree 2.3.2-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-fantasque-sans-mono 1.8.0-3
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.5.1-2
ttf-nerd-fonts-symbols 3.5.1-1
ttf-opensans 3.003-1
ttf-ubuntu-font-family 1:0.83-2
tumbler 4.20.2-1
udftools 2.3-3
udiskie 2.7.0-2
ufw 0.36.2-7
ufw-extras 1.3.0-1
unrar 1:7.3.1-1
unzip 6.0-23
usb_modeswitch 2.6.2.20251207-1
uwsm 0.26.7-1
v4l2loopback-dkms 0.15.4-2
vlc-plugins-all 3.0.23_2-14
vte3 0.84.1-1
vulkan-intel 1:26.2.2-1
vulkan-nouveau 1:26.2.2-1
vulkan-radeon 1:26.2.2-1
wget 1.25.0-6
wireplumber 0.5.17-1
wl-clip-persist 0.5.0-2
wlr-randr 0.5.0-1
wlsunset 0.4.0-1
wpa_supplicant 2:2.12-1
xdg-desktop-portal-gnome 50.0-1
xdg-desktop-portal-wlr 0.8.4-1
xdg-user-dirs 0.20-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xfsprogs 7.1.1-1
xl2tpd 1.3.20-1
xorg-xhost 1.0.10-1
xsettingsd 1.0.4-1
xwayland-satellite 0.8.2-1
yazi 26.9.1-2
yt-dlp 2026.08.19-1
zathura-pdf-mupdf 2026.07.18-2
zed 1.19.2-1
zenity 4.2.2-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
